scorer,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000,DLC_resnet50_chameleons_jackson_2Feb14shuffle1_500000
bodyparts,snout,snout,snout,glenoid,glenoid,glenoid,elbow,elbow,elbow,wrist,wrist,wrist,hip,hip,hip,knee,knee,knee,ankle,ankle,ankle,vent,vent,vent
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,333.5144348144531,450.6377258300781,0.9999809265136719,137.03314208984375,458.0170593261719,0.9999679327011108,40.80397033691406,482.1512451171875,0.9999983310699463,121.952392578125,590.2609252929688,0.99983811378479,344.4629821777344,445.6231994628906,0.0018444993766024709,123.17957305908203,588.20849609375,0.006338736042380333,119.95320892333984,589.48583984375,0.0033114198595285416,334.8087158203125,456.8487243652344,0.0020869839936494827
1,335.17828369140625,450.7679748535156,0.9999916553497314,138.5672607421875,458.0170593261719,0.999977707862854,40.93985366821289,482.1512451171875,0.9999967813491821,121.952392578125,590.2609252929688,0.9998323917388916,344.7860412597656,445.9622497558594,0.0018176636658608913,123.17957305908203,588.20849609375,0.006048348266631365,119.95320892333984,589.48583984375,0.004057691432535648,334.9220886230469,458.3382568359375,0.0027158453594893217
2,337.78607177734375,451.4486999511719,0.9999980926513672,140.05950927734375,458.0170593261719,0.9999761581420898,41.50450134277344,482.1512451171875,0.9999951124191284,121.952392578125,590.2609252929688,0.9997864365577698,347.3235168457031,460.48651123046875,0.0020555248484015465,123.17957305908203,588.20849609375,0.005636662244796753,119.95320892333984,589.48583984375,0.005840946454554796,334.9266052246094,459.7736511230469,0.004613601602613926
3,339.9501953125,451.8347473144531,0.9999986886978149,141.69508361816406,457.94573974609375,0.9999808073043823,42.21892166137695,480.68829345703125,0.9999920129776001,121.88987731933594,590.1107177734375,0.9997708201408386,347.5146789550781,460.48651123046875,0.002183344680815935,44.80535888671875,479.7442321777344,0.00886296946555376,119.73277282714844,589.1564331054688,0.0062783281318843365,334.9220886230469,460.8802795410156,0.004534247796982527
4,340.0845947265625,451.90594482421875,0.9999985694885254,141.71148681640625,457.9065856933594,0.9999784231185913,42.267608642578125,480.4843444824219,0.9999932050704956,121.88987731933594,589.955810546875,0.9997584223747253,347.58526611328125,460.48651123046875,0.002130709821358323,44.61965560913086,479.5193176269531,0.008570805191993713,119.73277282714844,589.1513671875,0.004979589954018593,334.8087158203125,460.8961181640625,0.0044447025284171104
5,342.98797607421875,452.572021484375,0.9999958276748657,143.38882446289062,457.9065856933594,0.9999825954437256,43.629150390625,479.1256103515625,0.9999727010726929,121.88987731933594,589.955810546875,0.9997588992118835,348.1461486816406,460.0654602050781,0.0019574202597141266,44.61965560913086,478.16656494140625,0.011574115604162216,119.73277282714844,589.1513671875,0.005152195226401091,334.9266052246094,460.8961181640625,0.0016563854878768325
6,343.13958740234375,452.7237548828125,0.9999958276748657,143.41419982910156,457.94573974609375,0.9999829530715942,43.74575424194336,479.0650329589844,0.9999593496322632,122.09483337402344,589.955810546875,0.9998070597648621,348.1669921875,460.0423889160156,0.0020548796746879816,44.80535888671875,478.11407470703125,0.018947875127196312,119.93451690673828,589.1439819335938,0.005146566778421402,334.9366149902344,460.8802795410156,0.0019824716728180647
7,346.6117858886719,454.02178955078125,0.9999336004257202,145.4417266845703,458.6176452636719,0.9999953508377075,45.406227111816406,477.9121398925781,0.9999467134475708,122.09483337402344,589.955810546875,0.99981290102005,348.88287353515625,459.173828125,0.002835681661963463,45.563838958740234,476.1568908691406,0.009898096323013306,120.0119857788086,589.0152587890625,0.0037947564851492643,351.49951171875,459.5765075683594,0.0023576151579618454
