scorer,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000,DLC_resnet50_craniofacialFeb8shuffle1_500000
bodyparts,sub1,sub1,sub1,sub2,sub2,sub2,grid1,grid1,grid1,grid2,grid2,grid2,beaktip,beaktip,beaktip,beakbase,beakbase,beakbase,head,head,head,eye,eye,eye,mandbase,mandbase,mandbase,mandtip,mandtip,mandtip,headbase,headbase,headbase,wing,wing,wing,topclaw,topclaw,topclaw,ankle,ankle,ankle,botclaw,botclaw,botclaw,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,721.4539794921875,173.13143920898438,0.9999774694442749,708.1533203125,535.2825927734375,0.9999829530715942,836.5947875976562,243.92825317382812,0.9999979734420776,831.593994140625,401.2147521972656,0.9999946355819702,701.028076171875,695.3181762695312,0.9999724626541138,720.53076171875,684.1481323242188,0.9999608993530273,742.0660400390625,690.851806640625,0.9999626874923706,731.88134765625,702.42333984375,0.9999945163726807,717.136474609375,701.2506103515625,0.9999575614929199,699.9105224609375,703.2737426757812,0.9999616146087646,755.9930419921875,734.12890625,0.9999321699142456,745.474365234375,743.6106567382812,0.9999725818634033,742.9929809570312,749.7631225585938,0.0014793201116845012,845.0028076171875,232.81272888183594,0.001684266491793096,721.1304931640625,173.98033142089844,0.0016551967710256577,751.4952392578125,751.9871826171875,0.0018083611503243446,700.928466796875,743.9428100585938,0.0022347450722008944
1,721.543701171875,173.13143920898438,0.9999754428863525,708.3925170898438,535.2825927734375,0.9999843835830688,836.8211059570312,243.92825317382812,0.9999980926513672,831.6607055664062,401.2147521972656,0.9999940395355225,701.028076171875,695.3181762695312,0.9999765157699585,720.6876831054688,684.1481323242188,0.9999104738235474,742.0660400390625,690.851806640625,0.9999805688858032,731.88134765625,702.42333984375,0.999985933303833,717.2122802734375,701.2506103515625,0.9999586343765259,700.1403198242188,703.2737426757812,0.999961256980896,756.7005615234375,734.12890625,0.9999587535858154,745.54248046875,743.6106567382812,0.9999690055847168,743.750732421875,749.7631225585938,0.0007718373672105372,845.0285034179688,232.81272888183594,0.0016760549042373896,721.229248046875,174.0567626953125,0.000819378299638629,751.4952392578125,751.9871826171875,0.0018299600342288613,700.928466796875,861.7156372070312,0.002056102268397808
2,721.5592651367188,173.13258361816406,0.9999750852584839,708.4566650390625,535.2825927734375,0.9999841451644897,836.8446044921875,243.92825317382812,0.9999980926513672,831.728759765625,401.2147521972656,0.9999936819076538,701.30810546875,695.3181762695312,0.9999823570251465,720.6876831054688,684.1481323242188,0.999901533126831,742.0660400390625,690.851806640625,0.9999885559082031,731.9995727539062,702.42333984375,0.9999921321868896,717.2317504882812,701.2506103515625,0.999974250793457,700.1591796875,703.2737426757812,0.99994957447052,757.0906372070312,734.12890625,0.9999748468399048,745.5467529296875,743.6106567382812,0.9999724626541138,744.336181640625,749.7631225585938,0.0005219280137680471,845.2222290039062,232.81272888183594,0.0019522011280059814,747.7197875976562,728.71630859375,0.000838878215290606,751.4952392578125,751.9871826171875,0.0017403903184458613,700.928466796875,861.7156372070312,0.003963606432080269
3,721.5592651367188,173.13258361816406,0.9999773502349854,708.4566650390625,535.2825927734375,0.9999853372573853,836.8446044921875,243.92825317382812,0.9999980926513672,831.728759765625,401.2147521972656,0.9999940395355225,701.1906127929688,694.8462524414062,0.9999834299087524,720.53076171875,682.4824829101562,0.999930739402771,741.7805786132812,689.2839965820312,0.9999862909317017,731.88134765625,700.431640625,0.9999933242797852,717.34423828125,700.0828247070312,0.999974250793457,700.1420288085938,702.3798828125,0.9999555349349976,757.5760498046875,732.6448974609375,0.9999736547470093,745.9756469726562,740.7608032226562,0.9999926090240479,744.8665771484375,734.6980590820312,0.0007657055393792689,845.1697387695312,232.8447265625,0.0019197361543774605,748.4736938476562,728.71630859375,0.002052688505500555,751.7301635742188,751.4304809570312,0.0014097006060183048,700.860595703125,861.7156372070312,0.0037237920332700014
4,721.543701171875,173.13258361816406,0.9999783039093018,708.4874877929688,535.2825927734375,0.999984860420227,836.8384399414062,243.92825317382812,0.9999979734420776,831.728759765625,401.2147521972656,0.9999951124191284,701.028076171875,694.8462524414062,0.9999817609786987,720.2393188476562,681.796630859375,0.9999475479125977,741.4049682617188,687.563232421875,0.9999728202819824,731.88134765625,698.613037109375,0.9999920129776001,717.718505859375,699.1399536132812,0.9999765157699585,700.1420288085938,702.3798828125,0.9999581575393677,757.7843017578125,730.8322143554688,0.9999629259109497,746.6386108398438,738.6986083984375,0.9999964237213135,744.8665771484375,734.6980590820312,0.001483887666836381,845.1697387695312,232.8447265625,0.001774856704287231,748.4736938476562,728.71630859375,0.0029124997090548277,751.7301635742188,736.4568481445312,0.0020187601912766695,700.860595703125,861.7156372070312,0.004069902002811432
5,721.543701171875,173.13258361816406,0.9999768733978271,708.4874877929688,535.2665405273438,0.9999836683273315,836.8384399414062,243.8421173095703,0.9999979734420776,831.728759765625,401.15863037109375,0.9999948740005493,701.011474609375,694.8199462890625,0.9999840259552002,719.4329833984375,681.7317504882812,0.9999676942825317,740.9856567382812,686.4266967773438,0.9999475479125977,731.8444213867188,697.0499267578125,0.9999878406524658,717.718505859375,698.5451049804688,0.9999741315841675,700.1420288085938,702.3798828125,0.9999493360519409,758.2642211914062,728.9954833984375,0.9998807907104492,747.6354370117188,738.0585327148438,0.9999972581863403,744.8665771484375,734.6980590820312,0.002123273443430662,845.1697387695312,232.7711944580078,0.0017316574230790138,748.4736938476562,728.71630859375,0.0027262994553893805,751.7301635742188,736.4568481445312,0.002396483439952135,700.860595703125,861.7156372070312,0.0057569644413888454
6,721.6286010742188,173.13258361816406,0.9999750852584839,708.5504150390625,535.2665405273438,0.9999842643737793,837.0845336914062,243.8421173095703,0.9999979734420776,831.8392333984375,401.15863037109375,0.9999942779541016,701.1906127929688,694.6845092773438,0.9999879598617554,718.2058715820312,681.4938354492188,0.9999781847000122,740.5427856445312,685.177734375,0.9999465942382812,731.8025512695312,695.866943359375,0.9999935626983643,717.718505859375,697.8196411132812,0.9999663829803467,699.6940307617188,702.3798828125,0.9999493360519409,759.280517578125,727.2322387695312,0.9998192191123962,750.2813720703125,737.615234375,0.9999949932098389,743.596435546875,735.2135620117188,0.0032455993350595236,845.1697387695312,232.7711944580078,0.0017466464778408408,748.4736938476562,727.5918579101562,0.0023194465320557356,752.7416381835938,736.4112548828125,0.002533965976908803,700.860595703125,861.623779296875,0.12469761073589325
7,721.6286010742188,173.1690216064453,0.9999758005142212,708.5504150390625,535.2665405273438,0.9999840259552002,837.0845336914062,244.0176544189453,0.9999979734420776,831.8392333984375,401.1995544433594,0.9999938011169434,701.1906127929688,694.46826171875,0.9999899864196777,717.3615112304688,680.6791381835938,0.999981164932251,740.0979614257812,683.6737670898438,0.999964714050293,731.1325073242188,694.2844848632812,0.9999964237213135,717.4806518554688,697.3222045898438,0.9999680519104004,699.6940307617188,702.3798828125,0.9999599456787109,759.5845947265625,724.3458862304688,0.999775230884552,752.4737548828125,736.1245727539062,0.9999798536300659,742.6055297851562,735.3453979492188,0.00550066726282239,845.1278076171875,232.9073944091797,0.0019313213415443897,748.4736938476562,726.3814697265625,0.0024309856817126274,754.24267578125,736.4568481445312,0.0019000290194526315,700.8597412109375,861.2393798828125,0.3347676992416382
