scorer,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000
bodyparts,woodL,woodL,woodL,woodR,woodR,woodR,eye,eye,eye,wing,wing,wing,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,ankle,ankle,ankle,sub1,sub1,sub1,sub2,sub2,sub2
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,520.4479370117188,291.7430725097656,0.9999415874481201,680.8816528320312,294.2483825683594,0.9999650716781616,345.7365417480469,641.9793701171875,0.001510215806774795,524.6114501953125,288.29351806640625,0.0007493296288885176,667.850341796875,636.9686889648438,0.0006255523767322302,667.8117065429688,643.180419921875,0.001030079205520451,525.3248291015625,281.5543212890625,0.001982003916054964,355.20440673828125,642.050537109375,0.9999988079071045,678.7974853515625,641.531005859375,0.9999997615814209
1,520.451416015625,291.7752990722656,0.9999384880065918,680.8876953125,294.2647399902344,0.9999644756317139,345.7365417480469,641.9820556640625,0.0015467406483367085,524.6183471679688,288.31500244140625,0.0007918548071756959,667.85791015625,636.97412109375,0.000655178795568645,667.8233642578125,643.1912231445312,0.001075977343134582,525.3399658203125,281.58160400390625,0.002057646634057164,355.20440673828125,642.0567626953125,0.9999986886978149,678.8089599609375,641.5416870117188,0.9999997615814209
2,520.4964599609375,291.8235778808594,0.9999407529830933,680.8876953125,294.2647399902344,0.9999642372131348,345.7365417480469,641.9820556640625,0.0015412690117955208,524.6190795898438,288.3189697265625,0.000755169487092644,667.8701171875,636.9776611328125,0.0006776406662538648,667.8433837890625,643.202392578125,0.0010941056534647942,525.3399658203125,281.58160400390625,0.002022538334131241,355.2123107910156,642.1068115234375,0.9999988079071045,678.82958984375,641.55419921875,0.9999997615814209
3,520.451416015625,291.8235778808594,0.9999427795410156,680.8816528320312,294.2671203613281,0.9999653100967407,345.73431396484375,641.9793701171875,0.0015445880126208067,524.6183471679688,288.31500244140625,0.000733508903067559,667.8701171875,636.97412109375,0.0006573096616193652,667.8433837890625,643.202392578125,0.0010943567613139749,525.3399658203125,281.5822448730469,0.0019703973084688187,355.20440673828125,642.1068115234375,0.9999986886978149,678.8089599609375,641.5416870117188,0.9999997615814209
4,520.4743041992188,291.8235778808594,0.9999432563781738,680.8757934570312,294.2671203613281,0.9999653100967407,345.7294616699219,641.9793701171875,0.001540439436212182,524.6201782226562,288.31500244140625,0.0007329854997806251,667.8701171875,636.976318359375,0.0006336059304885566,667.8433837890625,643.202392578125,0.0010416662553325295,525.3444213867188,281.59332275390625,0.001973059494048357,355.20440673828125,642.1068115234375,0.9999988079071045,678.8089599609375,641.55029296875,0.9999997615814209
5,520.4874267578125,291.8074951171875,0.9999386072158813,680.8709716796875,294.2496032714844,0.9999644756317139,345.7290954589844,641.9782104492188,0.0015053915558382869,524.620849609375,288.31500244140625,0.0007568543078377843,667.8701171875,636.97412109375,0.0006527412333525717,667.8285522460938,643.2095336914062,0.0011168564669787884,525.3444213867188,281.5865173339844,0.0020138686522841454,355.2191162109375,642.1068115234375,0.9999986886978149,678.8510131835938,641.5416870117188,0.9999997615814209
6,520.4743041992188,291.7983703613281,0.999940037727356,680.86962890625,294.2496032714844,0.9999642372131348,345.7290954589844,641.9782104492188,0.0014804559759795666,524.620849609375,288.306396484375,0.000751533720176667,667.8724365234375,636.976318359375,0.0006445496110245585,667.8285522460938,643.2095336914062,0.0010472803842276335,525.3387451171875,281.5822448730469,0.00198584352619946,355.2239990234375,642.1068115234375,0.9999986886978149,678.8510131835938,641.55029296875,0.9999997615814209
7,520.4448852539062,291.7955322265625,0.999941349029541,680.86962890625,294.25921630859375,0.9999645948410034,345.7290954589844,641.9708251953125,0.0014882385730743408,524.6100463867188,288.30267333984375,0.0007648019818589091,667.8724365234375,636.9658813476562,0.0006327976007014513,667.8135375976562,643.1945190429688,0.0010363507317379117,525.3444213867188,281.5865173339844,0.002010683761909604,355.2239990234375,642.0960693359375,0.9999988079071045,678.8143920898438,641.5238647460938,0.9999997615814209
8,520.4448852539062,291.7955322265625,0.9999406337738037,680.86962890625,294.2496032714844,0.9999651908874512,345.71209716796875,641.9801635742188,0.0015564316418021917,524.6100463867188,288.306396484375,0.0007624980644322932,667.8770141601562,636.976318359375,0.000681928126141429,667.8285522460938,643.1945190429688,0.0011020420351997018,525.3377075195312,281.5865173339844,0.002008663024753332,355.2321472167969,642.0960693359375,0.9999988079071045,678.8510131835938,641.55029296875,0.9999997615814209
9,520.4448852539062,291.76678466796875,0.9999394416809082,680.9004516601562,294.24853515625,0.9999657869338989,345.71209716796875,641.993408203125,0.0014925210271030664,524.6100463867188,288.306396484375,0.0007650702027603984,667.8770141601562,636.9722900390625,0.000680181197822094,667.8285522460938,643.2011108398438,0.0011346876854076982,525.3347778320312,281.5721130371094,0.0020439608488231897,355.25042724609375,642.0960693359375,0.9999986886978149,678.8143920898438,641.5505981445312,0.9999997615814209
10,520.4448852539062,291.76678466796875,0.9999396800994873,680.9017333984375,294.25506591796875,0.9999649524688721,345.70611572265625,641.9937133789062,0.0015049924841150641,524.6100463867188,288.306396484375,0.0007676790119148791,667.8761596679688,636.9861450195312,0.0006628117407672107,667.8323364257812,643.2011108398438,0.0010727655608206987,525.3347778320312,281.5718994140625,0.0020219723228365183,355.2321472167969,642.1024169921875,0.9999988079071045,678.8143920898438,641.5505981445312,0.9999997615814209
11,520.4561157226562,291.76678466796875,0.9999395608901978,680.9017333984375,294.24853515625,0.999966025352478,345.724853515625,641.993408203125,0.0015333689516410232,524.615478515625,288.308837890625,0.0007610011962242424,667.8761596679688,636.9722900390625,0.000655371171887964,667.8240966796875,643.2011108398438,0.0010872404091060162,525.3347778320312,281.5718994140625,0.0020218752324581146,355.25042724609375,642.1024169921875,0.9999986886978149,678.8167724609375,641.5390625,0.9999997615814209
12,520.4561157226562,291.7506103515625,0.9999436140060425,680.9004516601562,294.24853515625,0.9999665021896362,345.724853515625,641.993408203125,0.0015904708998277783,524.6275634765625,288.308837890625,0.0007549558067694306,667.8761596679688,636.9861450195312,0.0006630316493101418,667.8373413085938,643.2094116210938,0.001092451740987599,525.3347778320312,281.5718994140625,0.002002353547140956,355.2321472167969,642.1032104492188,0.9999988079071045,678.8360595703125,641.5505981445312,0.9999997615814209
13,520.4561157226562,291.76678466796875,0.9999402761459351,680.9017333984375,294.23480224609375,0.9999656677246094,345.724853515625,641.993408203125,0.0015220780624076724,524.6275634765625,288.30072021484375,0.0007715604151599109,667.8733520507812,636.9861450195312,0.0006612160941585898,667.8373413085938,643.2094116210938,0.0010792561806738377,525.3347778320312,281.5721130371094,0.0020205487962812185,355.2389221191406,642.1032104492188,0.9999986886978149,678.8360595703125,641.5505981445312,0.9999997615814209
14,520.484130859375,291.7506103515625,0.9999382495880127,680.895751953125,294.22613525390625,0.9999653100967407,345.7200012207031,641.9922485351562,0.0014958190731704235,524.6307983398438,288.30072021484375,0.0007742156158201396,667.8761596679688,636.990966796875,0.0006381100974977016,667.8373413085938,643.2105102539062,0.0010438632452860475,525.3344116210938,281.5718994140625,0.002052855445072055,355.22027587890625,642.110107421875,0.9999988079071045,678.84765625,641.5715942382812,0.9999997615814209
15,520.484130859375,291.7506103515625,0.9999369382858276,680.895751953125,294.22613525390625,0.9999651908874512,345.7200012207031,641.963623046875,0.0015493622049689293,524.6307983398438,288.30072021484375,0.000777652719989419,667.8733520507812,636.9945678710938,0.0006255314801819623,667.8409423828125,643.2105102539062,0.0010127437999472022,525.3344116210938,281.5771179199219,0.002069474197924137,355.2174987792969,642.110107421875,0.9999988079071045,678.84765625,641.5715942382812,0.9999997615814209
16,520.4459228515625,291.7647399902344,0.999941349029541,680.896728515625,294.2305908203125,0.9999655485153198,345.7200012207031,641.9922485351562,0.001543484628200531,524.6275634765625,288.29754638671875,0.0007521409424953163,667.8649291992188,636.9945678710938,0.0006442248122766614,667.8409423828125,643.2105102539062,0.001045880955643952,525.349365234375,281.5771179199219,0.001985605340451002,355.21026611328125,642.110107421875,0.9999988079071045,678.8360595703125,641.5715942382812,0.9999997615814209
17,520.497802734375,291.7647399902344,0.999942421913147,680.896728515625,294.2254943847656,0.9999657869338989,345.7200012207031,641.9922485351562,0.0014924741117283702,524.6257934570312,288.29754638671875,0.0007574185146950185,667.8649291992188,636.990966796875,0.0006690204609185457,667.8359985351562,643.20703125,0.001100156456232071,525.33984375,281.5736389160156,0.0019900258630514145,355.2041931152344,642.1105346679688,0.9999986886978149,678.8674926757812,641.561279296875,0.9999997615814209
18,520.497802734375,291.7451171875,0.9999407529830933,680.8858032226562,294.2305908203125,0.9999655485153198,345.7146301269531,641.9922485351562,0.0015325587010011077,524.6268920898438,288.3056640625,0.0007650177576579154,667.8848266601562,636.987060546875,0.0006460619624704123,667.8355102539062,643.2000122070312,0.0010882345959544182,525.349365234375,281.5729675292969,0.0020394420716911554,355.2041931152344,642.1105346679688,0.9999986886978149,678.8509521484375,641.5592651367188,0.9999997615814209
19,520.4837646484375,291.7451171875,0.9999403953552246,680.8858032226562,294.2369689941406,0.9999654293060303,345.7146301269531,641.9859619140625,0.0014806616818532348,524.6268920898438,288.3056640625,0.0007605789578519762,667.8632202148438,636.9544677734375,0.0006431092042475939,667.8240966796875,643.1881713867188,0.0010535531910136342,525.349365234375,281.5729675292969,0.0019894472789019346,355.2174987792969,642.0885620117188,0.9999988079071045,678.8351440429688,641.53466796875,0.9999997615814209
20,520.4635009765625,291.7451171875,0.9999397993087769,680.8721923828125,294.2305908203125,0.9999641180038452,345.7146301269531,641.9859619140625,0.0015549265081062913,524.6257934570312,288.3056640625,0.0007511835428886116,667.8632202148438,636.9544677734375,0.0006635126774199307,667.8074340820312,643.1881713867188,0.0010794372064992785,525.347900390625,281.56878662109375,0.0019966992549598217,355.2349853515625,642.0716552734375,0.9999988079071045,678.829833984375,641.53466796875,0.9999997615814209
21,520.4635009765625,291.7370300292969,0.9999408721923828,680.8721923828125,294.2133483886719,0.9999648332595825,345.7146301269531,641.9843139648438,0.0014937829691916704,524.61865234375,288.3056640625,0.0007636855589225888,667.866455078125,636.952392578125,0.0006867300835438073,667.8074340820312,643.1881713867188,0.001143946312367916,525.33984375,281.56878662109375,0.002020043320953846,355.23553466796875,642.0716552734375,0.9999988079071045,678.8509521484375,641.53466796875,0.9999997615814209
22,520.4635009765625,291.7370300292969,0.9999406337738037,680.8721923828125,294.23822021484375,0.9999659061431885,345.7146301269531,641.9859619140625,0.0015183035284280777,524.6174926757812,288.3056640625,0.0007679397822357714,667.8632202148438,636.9699096679688,0.000657257332932204,667.8074340820312,643.2000122070312,0.0010625754948705435,525.3466796875,281.56878662109375,0.0020184728782624006,355.23553466796875,642.0618286132812,0.9999986886978149,678.8509521484375,641.5366821289062,0.9999997615814209
23,520.4635009765625,291.760986328125,0.9999409914016724,680.8721923828125,294.23822021484375,0.999966025352478,345.71502685546875,641.9769287109375,0.0014538946561515331,524.6128540039062,288.3136901855469,0.000752784835640341,667.8622436523438,636.9699096679688,0.000646740838419646,667.8040771484375,643.205078125,0.0010654883226379752,525.3466796875,281.56878662109375,0.0019867236260324717,355.2349853515625,642.0618286132812,0.9999986886978149,678.829833984375,641.5366821289062,0.9999997615814209
24,520.462158203125,291.760986328125,0.9999412298202515,680.9068603515625,294.2135314941406,0.9999659061431885,345.7275085449219,641.9769287109375,0.001548361498862505,524.6128540039062,288.3136901855469,0.0007657851092517376,667.8579711914062,636.9699096679688,0.0006271769525483251,667.8040771484375,643.205078125,0.001023176941089332,525.339599609375,281.56878662109375,0.0020045340061187744,355.2071838378906,642.0618286132812,0.9999988079071045,678.8094482421875,641.5366821289062,0.9999997615814209
25,520.462158203125,291.7712097167969,0.9999412298202515,680.9146118164062,294.23822021484375,0.9999648332595825,345.7287292480469,641.9815673828125,0.0014840721851214767,524.6128540039062,288.3136901855469,0.0007543090032413602,667.8622436523438,636.9622192382812,0.0006538601592183113,667.8086547851562,643.2003784179688,0.001099345157854259,525.3460693359375,281.5597229003906,0.002019026316702366,355.2065124511719,642.077392578125,0.9999988079071045,678.8609619140625,641.5370483398438,0.9999997615814209
