scorer,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000,DLC_resnet50_ElizabethDavoli_22.5_FlatJan11shuffle1_500000
bodyparts,limb,limb,limb,Wing,Wing,Wing,WingBase,WingBase,WingBase,TailTip,TailTip,TailTip,Eye,Eye,Eye,LWood,LWood,LWood,RWood,RWood,RWood,sub1,sub1,sub1,sub2,sub2,sub2
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,767.33447265625,806.6387329101562,0.99994957447052,688.458251953125,684.7440185546875,0.9998780488967896,822.362060546875,754.9979858398438,0.9999613761901855,857.140380859375,815.5201416015625,0.9997907280921936,640.1318969726562,655.4066772460938,0.9999750852584839,574.1649169921875,466.26727294921875,0.9999885559082031,761.7660522460938,453.20611572265625,0.9999839067459106,208.2960968017578,587.283935546875,0.9999653100967407,691.0272827148438,683.7507934570312,0.02092699334025383
1,767.3448486328125,806.6387329101562,0.9999080896377563,688.458251953125,684.7440185546875,0.9997559189796448,822.362060546875,754.9979858398438,0.9999140501022339,857.140380859375,815.5201416015625,0.9999706745147705,640.1318969726562,655.4066772460938,0.9999980926513672,574.2770385742188,466.26727294921875,0.9999881982803345,761.7825317382812,453.23974609375,0.9999845027923584,208.3009796142578,587.283935546875,0.9999649524688721,691.0272827148438,684.430908203125,0.019870249554514885
2,767.736083984375,806.6387329101562,0.9999129772186279,688.458251953125,684.7440185546875,0.9995279312133789,822.362060546875,754.9979858398438,0.999983549118042,857.140380859375,815.5201416015625,0.9998084902763367,640.1318969726562,655.4066772460938,0.9999909400939941,574.2775268554688,466.40618896484375,0.9999885559082031,761.8817138671875,453.3654479980469,0.9999840259552002,208.3009796142578,587.3714599609375,0.9999668598175049,706.2390747070312,699.6112060546875,0.014531569555401802
3,767.3448486328125,805.4281005859375,0.9999526739120483,679.8176879882812,676.8291015625,0.9998297691345215,815.8055419921875,753.9891357421875,0.9999276399612427,853.6531372070312,814.9537353515625,0.9999406337738037,631.531005859375,651.8008422851562,0.9999972581863403,574.2775268554688,466.40618896484375,0.9999878406524658,761.8817138671875,453.3654479980469,0.9999837875366211,208.3009796142578,587.3714599609375,0.9999635219573975,779.1625366210938,824.591064453125,0.010991721414029598
4,767.3448486328125,804.1836547851562,0.9999589920043945,671.1450805664062,670.6716918945312,0.9997029900550842,808.2100830078125,752.8657836914062,0.999891996383667,845.1553344726562,812.2792358398438,0.999854564666748,622.58447265625,648.7947998046875,0.9999786615371704,574.2775268554688,466.3443603515625,0.9999881982803345,761.7825317382812,453.28631591796875,0.9999845027923584,208.29000854492188,587.4705200195312,0.9999634027481079,775.6222534179688,824.591064453125,0.01129241194576025
5,767.0029907226562,802.7083129882812,0.9999479055404663,665.05419921875,667.4259033203125,0.9996104836463928,796.6867065429688,746.4676513671875,0.9996212720870972,836.3280029296875,810.8606567382812,0.9999876022338867,614.0320434570312,644.8025512695312,0.999998927116394,574.2775268554688,466.3443603515625,0.9999880790710449,761.7825317382812,453.28631591796875,0.9999839067459106,208.2073974609375,587.480224609375,0.9999631643295288,775.6222534179688,824.591064453125,0.02247113175690174
6,765.8377685546875,801.00048828125,0.9999209642410278,656.423095703125,663.3501586914062,0.9999397993087769,787.578369140625,739.6472778320312,0.9999799728393555,826.3809814453125,802.1715087890625,0.9999852180480957,604.22265625,640.4381713867188,0.9999899864196777,574.1165161132812,466.3443603515625,0.9999885559082031,761.6892700195312,453.28631591796875,0.9999831914901733,208.2073974609375,587.480224609375,0.999961256980896,777.408935546875,824.591064453125,0.19204773008823395
7,762.220458984375,797.9615478515625,0.9995777010917664,645.3614501953125,660.1149291992188,0.9999719858169556,780.6140747070312,730.0000610351562,0.9996236562728882,820.2125244140625,793.9630737304688,0.9999877214431763,594.819580078125,636.870361328125,0.9999974966049194,574.1165161132812,466.3443603515625,0.9999886751174927,761.6892700195312,453.28631591796875,0.9999818801879883,208.2073974609375,587.487060546875,0.9999629259109497,777.408935546875,824.591064453125,0.9128705859184265
