scorer,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000,DLC_resnet50_0_flatFeb9shuffle1_500000
bodyparts,woodL,woodL,woodL,woodR,woodR,woodR,eye,eye,eye,wing,wing,wing,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,ankle,ankle,ankle,sub1,sub1,sub1,sub2,sub2,sub2
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,519.2206420898438,292.4256896972656,0.9999525547027588,681.1212768554688,294.0670166015625,0.9999635219573975,146.2358856201172,528.8545532226562,0.9999995231628418,150.0777587890625,524.8284912109375,0.01014644280076027,154.41513061523438,525.495361328125,0.0018996241269633174,146.81167602539062,286.85528564453125,0.0013907294487580657,525.4124145507812,281.6597595214844,0.0035858764313161373,354.7209167480469,643.6092529296875,0.9999991655349731,677.5909423828125,641.9976806640625,0.9999996423721313
1,519.2442016601562,292.4360656738281,0.9999532699584961,681.19189453125,294.0802001953125,0.9999661445617676,147.27859497070312,528.8545532226562,0.9999986886978149,150.0777587890625,525.4089965820312,0.009068392217159271,154.82798767089844,525.495361328125,0.0011467623990029097,516.356201171875,286.8622131347656,0.0008443418191745877,525.4303588867188,281.66796875,0.003525595646351576,354.7734680175781,643.6239624023438,0.9999991655349731,677.5909423828125,642.0230102539062,0.9999996423721313
2,519.2442016601562,292.51483154296875,0.999951958656311,681.19189453125,294.0802001953125,0.9999650716781616,148.02447509765625,528.8545532226562,0.999998927116394,150.0777587890625,527.316162109375,0.011146903969347477,154.8386688232422,525.495361328125,0.0009017130360007286,516.3743286132812,286.86737060546875,0.0008549803169444203,525.4303588867188,281.67974853515625,0.0034909669775515795,354.7734680175781,643.6266479492188,0.9999991655349731,677.5909423828125,642.0333251953125,0.9999996423721313
3,519.2442016601562,292.485595703125,0.9999525547027588,681.2285766601562,294.0728454589844,0.9999659061431885,148.7741241455078,527.9391479492188,0.9999982118606567,115.74132537841797,565.0245971679688,0.0250075776129961,523.5088500976562,281.6177673339844,0.0007253136136569083,516.3839111328125,286.86737060546875,0.0008584558963775635,525.4281616210938,281.67974853515625,0.0036089420318603516,354.78204345703125,643.6266479492188,0.9999991655349731,677.628662109375,642.0333251953125,0.9999996423721313
4,519.2528076171875,292.50555419921875,0.999953031539917,681.2285766601562,294.0728454589844,0.9999661445617676,149.92189025878906,527.5694580078125,0.9999921321868896,115.74132537841797,565.3671264648438,0.09050796180963516,523.523681640625,281.6177673339844,0.0007290366920642555,516.400146484375,286.8727722167969,0.000873331562615931,525.4281616210938,281.69329833984375,0.0035734842531383038,354.78204345703125,643.6448364257812,0.9999992847442627,677.6361694335938,642.031982421875,0.9999996423721313
5,519.26025390625,292.5084533691406,0.999953031539917,681.2285766601562,294.0362243652344,0.9999661445617676,150.98434448242188,527.3685302734375,0.999983549118042,115.74132537841797,565.4158935546875,0.07193287461996078,523.5341186523438,281.6177673339844,0.0007209455943666399,516.4002685546875,286.8775939941406,0.0008596559055149555,525.4313354492188,281.7010498046875,0.0035367768723517656,354.78204345703125,643.6485595703125,0.9999991655349731,677.6646728515625,642.0230102539062,0.9999996423721313
6,519.2528076171875,292.50555419921875,0.9999524354934692,681.2285766601562,294.03240966796875,0.9999672174453735,151.8812713623047,527.3685302734375,0.999977707862854,116.42898559570312,565.4158935546875,0.013451401144266129,523.5447998046875,281.6186218261719,0.0007269525667652488,516.3941040039062,286.8775939941406,0.0008567774202674627,525.4281616210938,281.7010498046875,0.0035764530766755342,354.77337646484375,643.6485595703125,0.9999991655349731,677.6646728515625,642.031982421875,0.9999996423721313
7,519.26025390625,292.50555419921875,0.9999518394470215,681.2415161132812,294.03240966796875,0.9999675750732422,154.77345275878906,527.3685302734375,0.9998601675033569,122.8524398803711,565.5498046875,0.011324853636324406,523.5447998046875,281.6257019042969,0.0007233904325403273,516.4002685546875,286.8775939941406,0.0008492317865602672,525.4281616210938,281.7010498046875,0.0035001838114112616,354.770751953125,643.6448364257812,0.9999991655349731,677.6682739257812,642.0159301757812,0.9999996423721313
8,519.26025390625,292.50555419921875,0.9999533891677856,681.2733764648438,294.0140380859375,0.9999675750732422,158.24563598632812,527.9903564453125,0.999903678894043,125.887451171875,566.3499145507812,0.0225592739880085,523.5447998046875,281.6257019042969,0.0007241025450639427,516.4002685546875,286.8775939941406,0.0008500628755427897,525.4313354492188,281.7010498046875,0.0035054166801273823,354.76336669921875,643.6123046875,0.9999991655349731,677.6646728515625,642.0159301757812,0.9999996423721313
9,519.2513427734375,292.47918701171875,0.9999524354934692,681.2932739257812,294.0081787109375,0.9999687671661377,160.3198699951172,528.0081787109375,0.9999467134475708,131.9960174560547,567.786865234375,0.15954294800758362,523.5327758789062,281.6214599609375,0.000731858192011714,516.3941040039062,286.8775939941406,0.0008737602038308978,525.4246215820312,281.7195129394531,0.003513753181323409,354.7558288574219,643.6123046875,0.9999991655349731,677.6454467773438,642.030517578125,0.9999996423721313
10,519.2513427734375,292.47918701171875,0.9999542236328125,681.3301391601562,294.0140380859375,0.9999691247940063,162.89004516601562,528.193359375,0.9999924898147583,132.44810485839844,567.8040161132812,0.5225890874862671,523.5283813476562,281.6186218261719,0.0007127559510990977,516.3804931640625,286.9013977050781,0.0008597481064498425,525.416748046875,281.7389221191406,0.0035286252386868,354.7558288574219,643.6123046875,0.9999991655349731,677.6454467773438,642.038330078125,0.9999996423721313
11,519.2513427734375,292.4931640625,0.9999527931213379,681.3301391601562,294.0025634765625,0.9999682903289795,166.78826904296875,529.098876953125,0.9999939203262329,135.9881134033203,571.1591796875,0.856094241142273,523.5283813476562,281.6214599609375,0.0007273468654602766,516.3663330078125,286.9232177734375,0.003275793045759201,158.06292724609375,653.5322265625,0.9998071789741516,354.7558288574219,643.6193237304688,0.9999991655349731,677.6454467773438,642.038330078125,0.9999996423721313
12,519.219970703125,292.47918701171875,0.9999508857727051,681.3274536132812,293.99237060546875,0.9999691247940063,171.1554412841797,529.098876953125,0.9999257326126099,138.26919555664062,575.1688232421875,0.9374356269836426,523.5283813476562,281.6181640625,0.00072568649193272,516.3663330078125,643.4417114257812,0.000875573605298996,158.06292724609375,654.0175170898438,0.999929666519165,354.75738525390625,643.6224975585938,0.9999991655349731,677.6397094726562,642.0428466796875,0.9999996423721313
13,519.2513427734375,292.4931640625,0.9999539852142334,681.3301391601562,293.99237060546875,0.9999691247940063,175.49853515625,529.098876953125,0.9999915361404419,139.45359802246094,575.1688232421875,0.9841257333755493,523.5286865234375,281.6181640625,0.0007322269375436008,219.89663696289062,654.8968505859375,0.0008630040101706982,158.06292724609375,654.380859375,0.9999185800552368,354.75738525390625,643.6224975585938,0.9999991655349731,677.6312255859375,642.0428466796875,0.9999996423721313
14,519.2460327148438,292.50836181640625,0.9999527931213379,681.3306884765625,294.0025634765625,0.9999692440032959,179.6105194091797,527.887451171875,0.9999997615814209,143.9560546875,575.1688232421875,0.9995908141136169,523.5286865234375,281.6103210449219,0.000727027072571218,516.3663330078125,643.4417114257812,0.0008647087379358709,158.6581573486328,654.380859375,0.9998365640640259,354.7630615234375,643.6193237304688,0.9999992847442627,677.6312255859375,642.0428466796875,0.9999996423721313
15,519.241455078125,292.50836181640625,0.9999525547027588,681.3363647460938,293.9786376953125,0.9999696016311646,183.5303955078125,526.3333740234375,0.9999992847442627,145.5298614501953,572.9863891601562,0.9999845027923584,523.5286865234375,281.6103210449219,0.0007102207746356726,516.3905029296875,286.9232177734375,0.0010311970254406333,158.95245361328125,654.380859375,0.9997722506523132,354.75738525390625,643.6193237304688,0.9999991655349731,677.6189575195312,642.0494384765625,0.9999996423721313
16,519.2460327148438,292.50982666015625,0.9999526739120483,681.3478393554688,293.9786376953125,0.9999688863754272,186.13650512695312,524.3921508789062,0.9999986886978149,147.18060302734375,572.1115112304688,0.9999963045120239,523.5323486328125,281.60894775390625,0.0007136973435990512,516.3997802734375,286.90264892578125,0.0008501301053911448,160.04244995117188,654.5225830078125,0.9995967745780945,354.75738525390625,643.64990234375,0.9999991655349731,677.6189575195312,642.0428466796875,0.9999996423721313
17,519.2460327148438,292.50982666015625,0.9999520778656006,681.361572265625,293.99041748046875,0.9999693632125854,189.1815185546875,522.7840576171875,0.9999984502792358,148.0797119140625,571.7804565429688,0.9999979734420776,523.5228271484375,281.6103210449219,0.0007255772943608463,516.3905029296875,286.8968505859375,0.0008521556737832725,160.7154998779297,654.5225830078125,0.9996241331100464,354.7422180175781,643.64990234375,0.9999991655349731,677.6051025390625,642.0405883789062,0.9999996423721313
18,519.2460327148438,292.5187072753906,0.9999521970748901,681.3634643554688,293.9965515136719,0.9999696016311646,191.77731323242188,522.2359008789062,0.9999994039535522,148.62486267089844,571.14599609375,0.9999988079071045,523.5228271484375,281.611083984375,0.000723744451534003,516.3905029296875,286.8968505859375,0.0008417731733061373,161.09927368164062,654.5225830078125,0.9994778037071228,354.7422180175781,643.64990234375,0.9999991655349731,677.6249389648438,642.0228881835938,0.9999996423721313
19,519.2922973632812,292.5187072753906,0.9999525547027588,681.3634643554688,293.99041748046875,0.9999691247940063,194.20867919921875,521.3626098632812,0.9999998807907104,149.41354370117188,570.901123046875,0.9999990463256836,523.542724609375,281.6156921386719,0.0007268476183526218,516.3843383789062,286.90264892578125,0.0008603270980529487,161.21868896484375,654.6766357421875,0.9979816675186157,354.7370300292969,643.64990234375,0.9999991655349731,677.606201171875,642.0228881835938,0.9999996423721313
20,519.2922973632812,292.5187072753906,0.9999526739120483,681.368408203125,293.99041748046875,0.9999697208404541,195.9855194091797,520.9874267578125,0.9999998807907104,150.0186767578125,570.7401733398438,0.9999990463256836,523.542724609375,281.611083984375,0.0007209791801869869,516.3734130859375,286.90264892578125,0.0008904223213903606,161.21868896484375,654.7301635742188,0.9958460927009583,354.7018737792969,643.5786743164062,0.9999990463256836,677.6249389648438,642.0228881835938,0.9999996423721313
21,519.2808227539062,292.4839172363281,0.9999527931213379,681.368408203125,293.980224609375,0.9999697208404541,197.10633850097656,520.294677734375,0.9999998807907104,150.8428497314453,570.2427368164062,0.9999986886978149,523.5529174804688,281.61749267578125,0.0007156346691772342,516.3734130859375,286.88873291015625,0.0009235180332325399,161.21868896484375,654.7301635742188,0.9480404853820801,354.6831970214844,643.5719604492188,0.9999991655349731,677.6300659179688,642.0274658203125,0.9999996423721313
22,519.2922973632812,292.5187072753906,0.9999538660049438,681.3494873046875,293.980224609375,0.9999709129333496,198.11585998535156,519.6307373046875,1.0,151.64532470703125,569.9136962890625,0.9999977350234985,523.559326171875,281.62164306640625,0.0007091654115356505,516.3734130859375,286.8900451660156,0.0008630936499685049,160.89065551757812,654.7320556640625,0.8070552349090576,354.6831970214844,643.5438842773438,0.9999991655349731,677.6300659179688,642.0512084960938,0.9999996423721313
23,519.2808227539062,292.4839172363281,0.9999524354934692,681.320556640625,293.9761047363281,0.9999698400497437,198.9442596435547,518.8258056640625,1.0,152.5292510986328,569.3094482421875,0.9999943971633911,523.559326171875,281.62164306640625,0.0007288376218639314,516.4050903320312,286.8900451660156,0.0008615214610472322,160.89065551757812,654.6766357421875,0.5912700295448303,354.7018737792969,643.5438842773438,0.9999990463256836,677.6300659179688,642.0512084960938,0.9999996423721313
24,519.2808227539062,292.5242614746094,0.9999508857727051,681.3494873046875,293.9761047363281,0.9999688863754272,199.7105712890625,518.1365966796875,0.9999998807907104,154.5068817138672,568.9517211914062,0.9999947547912598,523.559326171875,281.6131896972656,0.0007326451013796031,516.4241943359375,286.8900451660156,0.0008434090414084494,160.89065551757812,654.7202758789062,0.6746000051498413,354.6929016113281,643.5438842773438,0.9999990463256836,677.6300659179688,642.0512084960938,0.9999996423721313
25,519.28076171875,292.5242614746094,0.9999525547027588,681.3494873046875,293.9761047363281,0.9999686479568481,200.77919006347656,517.55810546875,0.9999996423721313,155.3486785888672,568.7941284179688,0.9999964237213135,523.561767578125,281.62164306640625,0.0007185098947957158,667.3403930664062,643.4363403320312,0.0008578728302381933,160.9364013671875,654.7202758789062,0.5742237567901611,354.7039794921875,643.5685424804688,0.9999990463256836,677.6408081054688,642.0335083007812,0.9999996423721313
