scorer,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000,DLC_resnet50_67.5_flatFeb9shuffle1_500000
bodyparts,bartop,bartop,bartop,barbot,barbot,barbot,eye,eye,eye,wing,wing,wing,tailbase,tailbase,tailbase,tailtip,tailtip,tailtip,ankle,ankle,ankle,sub1,sub1,sub1,sub2,sub2,sub2
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1119.1719970703125,217.28335571289062,0.9999430179595947,1111.1810302734375,372.6673889160156,0.9999581575393677,813.4087524414062,577.8840942382812,0.9999998807907104,842.7590942382812,626.3148803710938,0.9999984502792358,890.1547241210938,713.4149780273438,0.9999688863754272,872.7901611328125,773.8277587890625,0.9999918937683105,827.7920532226562,682.650634765625,0.9999966621398926,719.1077880859375,482.70416259765625,0.9999992847442627,754.5188598632812,556.0382690429688,0.9999991655349731
1,1119.2208251953125,217.2843780517578,0.9999401569366455,1111.226806640625,372.6673889160156,0.9999597072601318,813.4124145507812,577.8840942382812,0.9999998807907104,842.7590942382812,626.6791381835938,0.9999985694885254,890.1597900390625,713.4251708984375,0.9999747276306152,872.9251708984375,773.8277587890625,0.9999915361404419,827.8206787109375,682.659423828125,0.9999964237213135,719.1991577148438,482.70416259765625,0.9999991655349731,754.53662109375,556.0382690429688,0.9999991655349731
2,1119.2208251953125,217.3185272216797,0.9999420642852783,1111.2369384765625,372.7496337890625,0.9999558925628662,813.45849609375,577.8840942382812,0.9999998807907104,842.7590942382812,626.7262573242188,0.9999984502792358,890.1597900390625,713.8745727539062,0.9999803304672241,872.94091796875,773.8277587890625,0.999993085861206,827.889404296875,682.7462158203125,0.999996542930603,719.238525390625,482.7598876953125,0.9999991655349731,754.5416870117188,556.205322265625,0.9999991655349731
3,1119.2208251953125,217.3185272216797,0.9999403953552246,1111.2369384765625,372.7496337890625,0.9999558925628662,813.5174560546875,577.59619140625,0.9999998807907104,842.7590942382812,626.7262573242188,0.9999984502792358,890.1547241210938,713.93603515625,0.9999850988388062,872.94091796875,773.6802978515625,0.9999945163726807,827.8723754882812,682.865478515625,0.9999967813491821,719.24072265625,482.7598876953125,0.9999991655349731,754.5416870117188,556.205322265625,0.9999991655349731
4,1119.2081298828125,217.36849975585938,0.9999357461929321,1111.289794921875,372.7052001953125,0.9999641180038452,813.5335693359375,577.3318481445312,0.9999998807907104,842.7130126953125,626.7262573242188,0.9999984502792358,889.7825317382812,714.017333984375,0.9999880790710449,872.94091796875,773.4779052734375,0.999995231628418,827.889404296875,682.992919921875,0.9999969005584717,719.2696533203125,482.7598876953125,0.9999992847442627,754.53662109375,556.253662109375,0.9999991655349731
5,1119.2081298828125,217.4333038330078,0.9999297857284546,1111.289794921875,372.7225646972656,0.9999643564224243,813.7634887695312,576.99951171875,0.9999997615814209,842.7130126953125,626.5975341796875,0.9999982118606567,889.3211059570312,714.0489501953125,0.9999871253967285,872.833984375,773.2046508789062,0.9999951124191284,827.9202270507812,682.992919921875,0.9999972581863403,719.2696533203125,482.7598876953125,0.9999991655349731,754.5126342773438,556.31201171875,0.9999991655349731
6,1119.2081298828125,217.43710327148438,0.9999328851699829,1111.289794921875,372.7225646972656,0.9999663829803467,813.9342651367188,576.590087890625,0.9999997615814209,842.7636108398438,626.1551513671875,0.9999980926513672,889.0713500976562,714.071533203125,0.9999860525131226,872.5745239257812,772.484619140625,0.9999960660934448,828.0825805664062,682.9979858398438,0.9999974966049194,719.2696533203125,482.7598876953125,0.9999992847442627,754.5126342773438,556.31201171875,0.9999991655349731
7,1119.3792724609375,217.43710327148438,0.9999393224716187,1111.5030517578125,372.7052001953125,0.999963641166687,814.2470703125,576.2652587890625,0.9999996423721313,842.81640625,625.8670043945312,0.9999980926513672,889.0066528320312,714.0799560546875,0.9999843835830688,872.3799438476562,772.12158203125,0.9999964237213135,828.3011474609375,682.9979858398438,0.9999973773956299,719.3251953125,482.7366943359375,0.9999991655349731,754.5126342773438,556.31201171875,0.9999991655349731
