scorer,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_500000
bodyparts,woodL,woodL,woodL,woodR,woodR,woodR,neck,neck,neck,Lead,Lead,Lead,Lag,Lag,Lag
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,710.0496826171875,447.89697265625,0.9999991655349731,1008.2987670898438,456.2239990234375,0.9999872446060181,1014.232421875,517.1460571289062,0.9999938011169434,1014.759521484375,571.678955078125,0.32193055748939514,1014.708984375,574.6871948242188,0.9139758944511414
1,710.126220703125,447.90191650390625,0.9999991655349731,1008.3958129882812,456.4455871582031,0.9999843835830688,1014.232421875,518.2140502929688,0.9999881982803345,1014.759521484375,571.8362426757812,0.6513690948486328,1014.708984375,574.6871948242188,0.9606239199638367
2,710.17578125,447.90191650390625,0.9999991655349731,1008.5101318359375,456.55987548828125,0.9999847412109375,1014.232421875,518.392333984375,0.9999946355819702,1014.759521484375,572.1404418945312,0.4637523293495178,1014.736572265625,574.6871948242188,0.9926140308380127
3,710.17578125,447.90362548828125,0.9999991655349731,1008.7797241210938,456.59246826171875,0.9999872446060181,1013.1087036132812,518.6691284179688,0.9999959468841553,1013.6692504882812,572.2837524414062,0.43409714102745056,1014.708984375,574.1658935546875,0.9979958534240723
4,710.1895141601562,447.90362548828125,0.9999991655349731,1008.7797241210938,456.6160583496094,0.9999878406524658,1011.88427734375,519.0357666015625,0.999996542930603,1013.0103149414062,572.46044921875,0.6487935185432434,1014.572021484375,574.1566772460938,0.9989832043647766
5,710.1895141601562,447.9118957519531,0.9999991655349731,1008.7797241210938,456.6197814941406,0.999987006187439,1010.1812744140625,519.0357666015625,0.9999971389770508,1013.0103149414062,572.8187255859375,0.8334989547729492,1014.2362060546875,574.137939453125,0.997882068157196
6,710.1895141601562,447.897705078125,0.9999991655349731,1008.4480590820312,456.7671813964844,0.9999861717224121,1009.0133056640625,519.0357666015625,0.9999959468841553,1013.0103149414062,573.1145629882812,0.854189932346344,1013.9822998046875,574.0531616210938,0.997014045715332
7,710.1895141601562,447.897705078125,0.9999991655349731,1008.3395385742188,456.7752685546875,0.9999877214431763,1007.237060546875,518.8055419921875,0.9999920129776001,1013.1304321289062,573.4557495117188,0.936230480670929,1013.860595703125,574.0401611328125,0.9897215962409973
