scorer,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000,DLC_resnet50_Shuffling_LargePoleOct14shuffle1_475000
bodyparts,woodL,woodL,woodL,woodR,woodR,woodR,neck,neck,neck,Lead,Lead,Lead,Lag,Lag,Lag
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,229.8010711669922,395.4119873046875,0.9999986886978149,834.96142578125,406.6236267089844,0.9999990463256836,968.5176391601562,664.9856567382812,0.9638402462005615,881.94091796875,710.9246215820312,0.9999923706054688,840.7578735351562,410.9289245605469,0.0015532432589679956
1,229.8010711669922,395.4119873046875,0.9999986886978149,835.1295166015625,406.66973876953125,0.999998927116394,968.5176391601562,664.9856567382812,0.9984040856361389,882.3073120117188,711.2886352539062,0.9999897480010986,976.2221069335938,709.5270385742188,0.02421381138265133
2,229.8010711669922,395.4119873046875,0.9999985694885254,835.3571166992188,406.7209777832031,0.9999988079071045,968.5176391601562,664.9856567382812,0.9995707869529724,882.3073120117188,711.7572631835938,0.9999862909317017,976.2221069335938,709.7864379882812,0.7692906260490417
3,229.7103729248047,395.35333251953125,0.9999984502792358,835.5963745117188,406.7628479003906,0.9999988079071045,962.8956909179688,664.9035034179688,0.999975323677063,882.121826171875,711.8230590820312,0.9999916553497314,976.2221069335938,709.8603515625,0.9977288842201233
4,229.53533935546875,395.35333251953125,0.9999984502792358,835.61767578125,406.81298828125,0.9999986886978149,956.6461791992188,664.4845581054688,0.9999297857284546,882.121826171875,712.8231201171875,0.999992847442627,972.4159545898438,709.7864379882812,0.9999961853027344
5,229.25782775878906,395.35333251953125,0.9999984502792358,835.6858520507812,406.81878662109375,0.9999986886978149,950.2139282226562,663.9324951171875,0.9999939203262329,881.106201171875,713.2968139648438,0.999991774559021,969.640380859375,709.5270385742188,0.9999970197677612
6,228.97994995117188,395.3803405761719,0.9999984502792358,835.7056274414062,406.81878662109375,0.9999986886978149,943.42529296875,663.5745239257812,0.9999933242797852,880.6414184570312,713.5582275390625,0.9999897480010986,966.9397583007812,709.2987060546875,0.9999986886978149
7,228.81494140625,395.3803405761719,0.9999984502792358,835.7293701171875,406.81298828125,0.9999986886978149,936.6831665039062,662.966796875,0.9999855756759644,880.0825805664062,713.8351440429688,0.9999788999557495,966.465087890625,709.2066650390625,0.9999986886978149
